date,low,median,high,mean
2025-09-23T00:00:00,138.87213134765625,142.9061737060547,146.46644592285156,142.9061737060547
2025-09-24T00:00:00,137.6715087890625,142.52212524414062,146.83160400390625,142.52212524414062
2025-09-25T00:00:00,136.8461456298828,142.40155029296875,147.46681213378906,142.40155029296875
2025-09-26T00:00:00,136.38473510742188,142.5502471923828,148.51747131347656,142.5502471923828
2025-09-29T00:00:00,135.7662353515625,142.5961456298828,148.99342346191406,142.5961456298828
2025-09-30T00:00:00,135.23641967773438,142.57351684570312,149.5660400390625,142.57351684570312
2025-10-01T00:00:00,134.80430603027344,142.71337890625,150.2532501220703,142.71337890625
2025-10-02T00:00:00,134.3424530029297,142.86932373046875,151.05679321289062,142.86932373046875
2025-10-03T00:00:00,133.73968505859375,142.7747039794922,151.48110961914062,142.7747039794922
2025-10-06T00:00:00,133.4059295654297,143.04928588867188,152.35443115234375,143.04928588867188
2025-10-07T00:00:00,133.08396911621094,143.3365478515625,153.0570068359375,143.3365478515625
2025-10-08T00:00:00,132.54446411132812,143.3115997314453,153.61962890625,143.3115997314453
