date,low,median,high,mean
2025-09-23T00:00:00,133.53048706054688,138.9772491455078,144.63897705078125,138.86599731445312
2025-09-24T00:00:00,132.65289916992188,138.34603881835938,142.7818161010742,138.19439697265625
2025-09-25T00:00:00,130.63860321044922,136.95132446289062,142.6758804321289,136.2649688720703
2025-09-26T00:00:00,131.33008422851563,136.59713745117188,143.22820587158202,136.46035766601562
2025-09-29T00:00:00,130.18897552490233,136.8162384033203,143.4099868774414,137.03126525878906
2025-09-30T00:00:00,130.08211517333984,137.8437042236328,144.84022521972656,137.6084747314453
2025-10-01T00:00:00,130.77569122314452,138.11529541015625,146.5588607788086,138.76376342773438
2025-10-02T00:00:00,129.75235595703126,137.15794372558594,146.16627502441406,137.37554931640625
2025-10-03T00:00:00,127.7539680480957,136.70053100585938,146.71981811523438,136.47377014160156
2025-10-06T00:00:00,129.1102523803711,135.3240966796875,144.49561157226563,136.31167602539062
2025-10-07T00:00:00,127.27904510498047,137.90997314453125,147.5962158203125,143.31617736816406
2025-10-08T00:00:00,127.50463562011718,134.62014770507812,147.92474975585938,137.75225830078125
