date,low,median,high,mean
2025-09-23T00:00:00,128.8754119873047,135.31350708007812,143.55404663085938,137.35079956054688
2025-09-24T00:00:00,126.40959167480469,135.3800048828125,144.1396026611328,135.7029571533203
2025-09-25T00:00:00,123.91700744628906,133.97927856445312,143.48631286621094,134.06642150878906
2025-09-26T00:00:00,122.29541778564453,133.4517364501953,145.12193298339844,133.90513610839844
2025-09-29T00:00:00,122.6219482421875,134.5017547607422,145.94790649414062,134.73057556152344
2025-09-30T00:00:00,121.50957489013672,133.88307189941406,147.37002563476562,134.86105346679688
2025-10-01T00:00:00,118.60847473144531,132.2021026611328,146.35598754882812,132.80209350585938
2025-10-02T00:00:00,117.6991958618164,131.84109497070312,145.3760986328125,130.79579162597656
2025-10-03T00:00:00,114.14759063720703,129.08949279785156,143.04690551757812,128.30523681640625
2025-10-06T00:00:00,112.27102661132812,127.95236206054688,144.13516235351562,129.313720703125
2025-10-07T00:00:00,113.04329681396484,129.08718872070312,146.35919189453125,128.39515686035156
2025-10-08T00:00:00,111.80191802978516,130.0153350830078,147.50746154785156,130.80136108398438
